,shapeName,shapeID,shapeGroup,shapeType,longitude,latitude,is_land,tmz,elevation,surface_azimuth,fixed_yield,tracking_yield
87,Quipungo,91424787B65395745560852,AGO,ADM2,14.52087243276359,-15.071524593364774,True,Africa/Luanda,1362.0,0,427628.81575695355,531478.3790647131
88,Belas,91424787B66059706224288,AGO,ADM2,13.249781374376926,-9.081567394733298,True,Africa/Luanda,0.0,0,348272.0377861167,422948.53261527314
89,Cacuaco,91424787B14243133178966,AGO,ADM2,13.474684003035621,-8.810436607900078,True,Africa/Luanda,0.0,0,336851.78613762907,404612.1054667193
90,Luanda,91424787B55521153380221,AGO,ADM2,13.266244795999349,-8.846176034686081,True,Africa/Luanda,73.0,0,358138.5663647662,434890.8213064045
91,Icolo e Bengo,91424787B45136787959125,AGO,ADM2,13.844284090208903,-9.184923631951872,True,Africa/Luanda,0.0,0,348472.248250202,417146.09958088276
92,Quissama,91424787B69259370367741,AGO,ADM2,13.837338369424245,-9.83957557724352,True,Africa/Luanda,218.0,0,342205.776451507,407201.47583122266
93,Cambulo,91424787B7794833392213,AGO,ADM2,21.493480443274542,-7.9098721764241615,True,Africa/Luanda,0.0,0,367755.8584938911,439453.1549618899
94,Capenda-Camulemba,91424787B15683694525911,AGO,ADM2,18.830365548373408,-9.772373508316564,True,Africa/Luanda,0.0,0,379229.7735400836,457856.0829563091
95,Caungula,91424787B41460379918234,AGO,ADM2,18.827539484738246,-8.350668417572061,True,Africa/Luanda,1193.0,0,352294.04071951855,416554.58750839345
96,Chitato,91424787B90607964239215,AGO,ADM2,20.398788885306317,-7.394779715089166,True,Africa/Luanda,0.0,0,373110.5164294742,447955.6703299975
97,Cuango,91424787B83606062425876,AGO,ADM2,18.055475579975738,-8.618460906191817,True,Africa/Luanda,0.0,0,367092.0682060306,442213.22412306385
98,Cuilo,91424787B17792860474609,AGO,ADM2,19.688398822392585,-8.145601213868296,True,Africa/Luanda,1074.0,0,358087.266291604,430712.2700279502
99,Lubalo,91424787B46795887578157,AGO,ADM2,19.314355894525004,-9.264594797279607,True,Africa/Luanda,0.0,0,376061.77757934877,452416.3996993573
100,Lucapa,91424787B48042434529764,AGO,ADM2,20.474602604141865,-8.44094506008547,True,Africa/Luanda,0.0,0,368456.00061728,442060.0087096001
101,Xa-Muteba,91424787B55001564307677,AGO,ADM2,17.980037187283802,-9.502635673320574,True,Africa/Luanda,933.0,0,390199.25290447735,477464.1431467094
102,Cacolo,91424787B11681042656002,AGO,ADM2,19.190898591938723,-10.697174231805475,True,Africa/Luanda,0.0,0,384218.9501041843,461969.405599141
103,Dala,91424787B38882855808197,AGO,ADM2,20.34210314370202,-10.958871978666663,True,Africa/Luanda,1240.0,0,384372.7392367504,470890.0275081896
104,Muconda,91424787B56866030403615,AGO,ADM2,21.421259007232578,-10.179599180229006,True,Africa/Luanda,0.0,0,390532.1668417401,476634.6987295273
105,Saurimo,91424787B32640595944585,AGO,ADM2,20.686853093598423,-9.497919447571986,True,Africa/Luanda,1009.0,0,379554.174975703,460557.54871249216
106,Cacuso,91424787B27553841432178,AGO,ADM2,15.617437058250308,-9.500604346387313,True,Africa/Luanda,0.0,0,376857.93502119946,450330.6335034945
107,Cahombo,91424787B12567733179879,AGO,ADM2,16.652748778032294,-8.667750035613073,True,Africa/Luanda,809.0,0,386511.6556267829,472314.70598298055
108,Calandula,91424787B81710003756648,AGO,ADM2,15.993004089260658,-8.716457763306874,True,Africa/Luanda,0.0,0,361911.6423135374,426755.6544236791
109,Cambundi-Catembo,91424787B22609176467527,AGO,ADM2,17.63688218353546,-10.211636639178039,True,Africa/Luanda,1107.0,0,382602.87117852503,463496.8282638367
110,Cangandala,91424787B16698787972109,AGO,ADM2,16.67885913628035,-9.981483676242503,True,Africa/Luanda,0.0,0,388868.45355052955,470664.61610732094
111,Cunda-dia-Baze,91424787B4961383306768,AGO,ADM2,17.34485886276608,-8.67895326060328,True,Africa/Luanda,0.0,0,380088.4610094652,462073.89886654704
112,Kiuaba-N'Zoji,91424787B74971894264507,AGO,ADM2,16.453484929171406,-9.067887573267157,True,Africa/Luanda,1122.0,0,372909.3658711188,445372.2868436878
113,Luquembo,91424787B85219322931866,AGO,ADM2,17.37926578495637,-10.80749974792941,True,Africa/Luanda,0.0,0,398358.54920604493,488357.7418292512
114,Malanje,91424787B32489723581228,AGO,ADM2,16.34624105074465,-9.502815486291857,True,Africa/Luanda,1193.0,0,376718.9703559049,453636.32960355177
115,Marimba,91424787B67542854590924,AGO,ADM2,17.10732964498149,-8.18593953268948,True,Africa/Luanda,0.0,0,373785.3794515048,455737.54077960784
116,Massango,91424787B44714892855770,AGO,ADM2,16.598872966437785,-7.779127422895188,True,Africa/Luanda,720.0,0,376301.38930411765,457755.61419508373
117,Mucari,91424787B90267506609693,AGO,ADM2,16.897830170572963,-9.513796662545436,True,Africa/Luanda,0.0,0,383176.99869493546,466318.2467537606
118,Quela,91424787B39192527318793,AGO,ADM2,17.27713261697781,-9.359057048681306,True,Africa/Luanda,0.0,0,387298.584106561,470279.00152029784
119,Quirima,91424787B65383538427912,AGO,ADM2,18.25674779789306,-11.08827015434898,True,Africa/Luanda,1257.0,0,389674.2875792217,472627.91488508455
120,Alto Zambeze,91424787B14573378953550,AGO,ADM2,22.89102778241335,-12.23742317815845,True,Africa/Luanda,0.0,0,396102.58730845584,482428.8477912825
121,Bundas,91424787B99215650003387,AGO,ADM2,21.2997377289317,-14.242762690969428,True,Africa/Luanda,1182.0,0,408566.79908148956,504376.0180993664
122,Camanongue,91424787B66026078935851,AGO,ADM2,20.212457254082167,-11.446368971645619,True,Africa/Luanda,0.0,0,396638.4833038286,487919.3480789492
123,Cameia (Lumeje),91424787B44044364519253,AGO,ADM2,21.251784792334806,-11.878555155762534,True,Africa/Luanda,0.0,0,401952.01914499456,492328.3527282517
124,Leua,91424787B88267048029006,AGO,ADM2,20.568735722120138,-11.788269038238152,True,Africa/Luanda,0.0,0,408317.2312015252,506070.22436351585
125,Luacano,91424787B19142680780947,AGO,ADM2,22.030136661107722,-11.704824308603882,True,Africa/Luanda,1079.0,0,402566.72688958026,496518.5415498235
126,Luau,91424787B20373206504825,AGO,ADM2,21.984263049548193,-10.93929143549664,True,Africa/Luanda,0.0,0,386834.3159422798,470604.2927642764
127,Luchazes,91424787B4065359116926,AGO,ADM2,19.504729149651585,-13.754481860923061,True,Africa/Luanda,0.0,0,410990.0080236089,503599.0778798874
128,Luena,91424787B11929587765837,AGO,ADM2,19.738974381362787,-12.361782572149496,True,Africa/Luanda,1227.0,0,398126.3226459344,486869.0160680249
129,Bibala,91424787B9367428478234,AGO,ADM2,13.110112934928939,-14.718529583857812,True,Africa/Luanda,0.0,0,412782.8735317287,506485.12358431774
130,Camucuio,91424787B84876845723860,AGO,ADM2,13.01191274701827,-14.038677148524185,True,Africa/Luanda,584.0,0,428656.14570235315,535318.8638287024
131,Namibe,91424787B32970526214853,AGO,ADM2,12.436982636698751,-14.760701311189122,True,Africa/Luanda,0.0,0,441018.6920722745,542947.2882870833
132,Tombwa,91424787B27648780541233,AGO,ADM2,12.36115409457187,-16.57712780511899,True,Africa/Luanda,371.0,0,447749.6773824556,564294.4950619299
133,Virei,91424787B61939006387595,AGO,ADM2,12.906325958302334,-15.830324245972538,True,Africa/Luanda,0.0,0,430501.82731295284,534625.9109875237
134,Baia Farta,91424787B27175102535550,AGO,ADM2,13.09164037674177,-13.195534199013917,True,Africa/Luanda,0.0,0,410545.37948400865,502233.5938910437
135,Ambuila,91424787B19411602176766,AGO,ADM2,14.448703123711217,-7.60808775140257,True,Africa/Luanda,552.0,0,337989.97138985986,386251.37628143915
136,Bembe,91424787B71715001010429,AGO,ADM2,14.267766188322145,-7.053457241622283,True,Africa/Luanda,0.0,0,335788.15370426694,393816.04124947195
137,Buengas,91424787B57377917491043,AGO,ADM2,15.826050953691304,-6.664229438991284,True,Africa/Luanda,907.0,0,361801.3174516304,428361.12401249626
138,Bungo,91424787B64947504066286,AGO,ADM2,15.436321852072592,-7.403311268677111,True,Africa/Luanda,0.0,0,366689.71928975434,434964.6758451225
139,Cangola,91424787B19129010397501,AGO,ADM2,15.952400647085305,-7.844550639637984,True,Africa/Luanda,0.0,0,370719.4793965191,447177.2986883935
140,Damba,91424787B64402846254496,AGO,ADM2,15.212503216653388,-6.734959196071171,True,Africa/Luanda,1044.0,0,353247.1873244435,418046.64388796483
141,Maquela do Zombo,91424787B8015687756398,AGO,ADM2,15.484887291103663,-6.114117919376163,True,Africa/Luanda,838.0,0,360279.66169103497,424884.0253790534
142,Milunga,91424787B58052517323546,AGO,ADM2,16.576937797832755,-7.04638487392892,True,Africa/Luanda,0.0,0,366050.75398913765,435125.1089161298
143,Mucaba,91424787B3952894903684,AGO,ADM2,15.088747671366233,-7.170432777835785,True,Africa/Luanda,0.0,0,335740.3235881146,391974.58171095303
144,Negage,91424787B13670088554329,AGO,ADM2,15.374363500814988,-7.849383177641056,True,Africa/Luanda,1250.0,0,350680.0282243663,414274.3178151214
145,Puri,91424787B4511045932665,AGO,ADM2,15.670458278510983,-7.664465426138624,True,Africa/Luanda,0.0,0,373856.15092860255,445117.55960614834
146,Quimbele,91424787B53455794126322,AGO,ADM2,16.352495462957936,-6.333980421839678,True,Africa/Luanda,792.0,0,355387.2364548252,423173.6559007623
147,Quitexe,91424787B44468501236421,AGO,ADM2,14.908390216314869,-8.068315663964231,True,Africa/Luanda,0.0,0,335231.2209457766,385438.29350242484
148,Sanza Pombo,91424787B23875954822016,AGO,ADM2,16.04721716340524,-7.2322124623592146,True,Africa/Luanda,940.0,0,370345.3225326278,446546.36880954047
149,Songo,91424787B10237640119625,AGO,ADM2,14.783132070884871,-7.14268824128346,True,Africa/Luanda,0.0,0,336050.13254278,392865.1328587702
150,Uige,91424787B56359503590027,AGO,ADM2,15.079201366461351,-7.585616520934347,True,Africa/Luanda,0.0,0,326742.58863186545,381903.62541896274
151,Cuimba,91424787B37316347690487,AGO,ADM2,14.651236666908135,-6.209175570801003,True,Africa/Luanda,541.0,0,312756.91279420047,361258.76509722206
152,Mbanza Congo,91424787B74689305986886,AGO,ADM2,14.175272388610033,-6.3130740311050815,True,Africa/Luanda,0.0,0,315796.1002617953,367913.7081410116
153,Noqui,91424787B72729996019257,AGO,ADM2,13.506246943119596,-6.152823103862228,True,Africa/Luanda,0.0,0,328791.47768873774,387380.6464496187
154,N'Zeto,91424787B91654064928130,AGO,ADM2,13.399360490858825,-7.343603143305359,True,Africa/Luanda,209.0,0,329080.20793634205,389285.39980435587
155,Soyo,91424787B66506918249166,AGO,ADM2,12.723702455670582,-6.299529366075412,True,Africa/Luanda,0.0,0,318467.66378395306,377357.5417332314
156,Tomboco,91424787B25052954178250,AGO,ADM2,13.350813474891842,-6.711398891618692,True,Africa/Luanda,0.0,0,318856.7189879454,374822.9313558789
157,Bobonong,55941954B50535260459809,BWA,ADM2,28.13015616546654,-21.982345341638215,True,Africa/Gaborone,810.0,0,393405.5218008157,481077.98546404246
158,Machaneng,55941954B28903282369970,BWA,ADM2,27.150863919913117,-23.12951493541903,True,Africa/Gaborone,0.0,0,422307.2916500601,519423.4906522907
159,Gaborone,55941954B98371115502172,BWA,ADM2,25.8547425587287,-24.771772611223238,True,Africa/Gaborone,0.0,0,436691.0921662131,533145.8160643391
160,Lethlakane,55941954B49792364057910,BWA,ADM2,24.95071563361367,-21.315589581799927,True,Africa/Gaborone,934.0,0,440522.91922845127,544015.1969560502
161,Mahalapye,55941954B87089695796057,BWA,ADM2,26.333769080157776,-23.259861191718166,True,Africa/Gaborone,0.0,0,423932.6411273474,519383.8780222788
162,Palapye,55941954B44678367556360,BWA,ADM2,27.482234671964857,-22.54749786896825,True,Africa/Gaborone,874.0,0,399155.58288882783,489659.16575843137
163,South East,55941954B89738474745599,BWA,ADM2,25.669614001413372,-25.22575882529379,True,Africa/Gaborone,0.0,0,432122.7597465389,519906.51121293154
164,Serowe,55941954B86221332842775,BWA,ADM2,26.36991189015292,-22.048371228163052,True,Africa/Gaborone,0.0,0,424695.4463449169,515900.84777512396
165,Barolong,55941954B82526344478572,BWA,ADM2,25.423245357664094,-25.5906916738941,True,Africa/Gaborone,1283.0,0,435635.2449475912,527013.7739847007
166,Tuli,55941954B92705944270684,BWA,ADM2,28.14144721485301,-22.777748532580596,True,Africa/Gaborone,0.0,0,402349.7804190466,493903.7231502471
167,Tutume,55941954B61152089533455,BWA,ADM2,25.942326353134305,-20.21722055509579,True,Africa/Gaborone,918.0,0,447947.8722410792,556940.1675077449
168,Ghanzi,55941954B82416766201839,BWA,ADM2,22.598300462094482,-22.294171099749008,True,Africa/Gaborone,0.0,0,444493.8667986923,547805.2910955918
169,Gemsbok,55941954B31216508800768,BWA,ADM2,21.044819883696732,-25.19734616595525,True,Africa/Gaborone,0.0,0,450320.5416889227,554387.037850352
170,Hukunsti,55941954B76527564067138,BWA,ADM2,21.673825899316252,-24.006213303725165,True,Africa/Gaborone,1144.0,0,449349.9958246443,553243.3564140145
171,Tshabong,55941954B45615354641166,BWA,ADM2,22.417363898399298,-25.751339508418642,True,Africa/Gaborone,0.0,0,452732.07614274864,553116.7906287708
172,Kgatleng,55941954B56458887922680,BWA,ADM2,26.350889685767516,-24.15170357770292,True,Africa/Gaborone,0.0,0,420184.98390201555,511830.3195697137
173,Ngwaketse Central,55941954B20262478145890,BWA,ADM2,24.863980101099184,-25.033855890158325,True,Africa/Gaborone,1183.0,0,424509.1435142478,518071.88141924876
174,Kweneng North,55941954B84762067272179,BWA,ADM2,25.60767208094914,-23.791054059299107,True,Africa/Gaborone,0.0,0,439286.20735659637,536930.5421772067
175,Ngamiland West,55941954B78250687153975,BWA,ADM2,21.948945315540744,-19.498107004089093,True,Africa/Gaborone,0.0,0,426639.8815003402,528845.6903311122
176,Kweneng South,55941954B98579419812372,BWA,ADM2,24.352723749966206,-23.888531536435046,True,Africa/Gaborone,1091.0,0,431076.44188246795,532949.2795022335
